city,temperature,humidity,weather
Vidisha,23.74,20,clear sky
Vettavalam,24.81,83,clear sky
Vettaikkaranpudur,24.53,80,few clouds
Vetapālem,26.86,76,clear sky
Verna,27.95,51,clear sky
Verāval,25.07,54,clear sky
Vepagunta,26.83,83,mist
Venkatagiri,24.11,87,clear sky
Vengurla,26.13,60,clear sky
Vemalwāda,26.54,57,overcast clouds
Velur,26.6,73,clear sky
Vellore,24.11,87,clear sky
Vejalpur,25.86,22,clear sky
Vedasandūr,25.78,78,clear sky
Vedaraniyam,28.03,77,few clouds
Vayalār,27.54,77,overcast clouds
Vattalkundu,25.08,86,clear sky
Vāsudevanallūr,26.2,83,few clouds
Vasind,24.34,36,clear sky
Vasco da Gama,27.93,51,clear sky
Vasa,24.55,23,clear sky
Vartej,26.47,37,clear sky
Varkala,26.82,82,few clouds
Varca,28.0,51,clear sky
Varangaon,26.73,19,clear sky
Varanasi,20.05,77,mist
Vānsada,23.71,46,clear sky
Vaniyambadi,23.91,75,clear sky
Vandavāsi,25.06,86,clear sky
Vandalūr,28.14,85,few clouds
Valsād,24.66,74,clear sky
Valpoy,22.09,56,clear sky
Valparai,19.66,86,scattered clouds
Vallam,25.27,90,clear sky
Vallabh Vidyanagar,25.37,22,clear sky
Valavanur,25.91,83,clear sky
Azhikkal,25.68,82,clear sky
Valangaiman,25.6,85,scattered clouds
Valabhīpur,26.69,37,clear sky
Vaikam,26.31,85,overcast clouds
Vaijāpur,25.55,24,clear sky
Vāghodia,25.82,24,clear sky
Vadodara,26.83,22,clear sky
Vadnagar,24.98,21,clear sky
Vadlapūdi,24.99,84,clear sky
Vādippatti,26.22,80,clear sky
Vadamadurai,25.49,79,clear sky
Vadakku Valliyūr,26.18,80,overcast clouds
Vāda,23.43,45,clear sky
Ūttukkuli,26.05,73,clear sky
Uttiramerūr,25.04,85,clear sky
Uttar Pradesh,21.23,16,clear sky
Uttarkāshi,8.3,40,clear sky
Uttamapālaiyam,23.45,88,clear sky
Utraula,21.44,17,clear sky
Utrān,25.5,54,clear sky
Usilampatti,26.5,77,scattered clouds
Usehat,21.04,13,scattered clouds
Uri,10.48,38,clear sky
Uravakonda,28.08,42,clear sky
Uran,25.98,61,clear sky
Uppiliyapuram,25.13,83,clear sky
Upleta,24.84,57,clear sky
Uppal Kalan,24.74,64,clear sky
Unnāo,22.1,17,clear sky
Unjha,24.61,24,clear sky
Uniāra,23.56,20,clear sky
Unhel,24.01,23,clear sky
Unchagao,23.68,34,clear sky
Una,17.29,27,clear sky
Una,23.59,85,clear sky
Ūn,17.48,20,clear sky
Un,25.68,28,clear sky
Umri,22.14,18,clear sky
Umreth,24.8,24,clear sky
Umred,28.02,26,scattered clouds
Umrāla,26.56,39,clear sky
Umarkot,22.94,57,overcast clouds
Umarkhed,28.56,20,overcast clouds
Umaria,21.29,52,clear sky
Umarga,28.48,21,clear sky
Ullal,27.53,78,few clouds
Ulhasnagar,25.13,47,clear sky
Ukwā,21.46,54,clear sky
Uklāna,18.41,20,clear sky
Ujjain,23.85,23,clear sky
Ujiārpur,19.94,83,clear sky
Ujhāni,20.37,15,clear sky
Ugu,21.85,17,clear sky
Udumalaippettai,24.9,75,clear sky
Udpura,24.32,20,clear sky
Udupi,25.38,75,clear sky
Udhampur,13.33,47,clear sky
Udgīr,27.25,21,clear sky
Udangudi,27.91,76,overcast clouds
Udalguri,19.08,76,overcast clouds
Udaipura,24.66,21,clear sky
Udaipur,19.33,20,clear sky
Udaipur,21.5,24,clear sky
Udaipur,23.6,47,overcast clouds
Udayagiri,19.66,67,broken clouds
Ooty,12.45,87,few clouds
Bara Uchāna,17.4,21,clear sky
Turuvekere,24.88,59,clear sky
Turaiyūr,25.45,82,clear sky
Tura,19.27,71,overcast clouds
Tuni,22.69,86,clear sky
Tūndla,22.92,14,broken clouds
Tumsar,26.21,46,few clouds
Tumkūr,24.43,58,few clouds
Tulsīpur,21.28,16,clear sky
Tuljāpur,27.84,19,clear sky
Tulihal,16.13,78,overcast clouds
Tughlakābād,19.84,60,haze
Tufānganj,21.16,76,overcast clouds
Tuensang,13.14,74,broken clouds
Tsrār Sharīf,5.43,53,clear sky
Thiruvananthapuram,28.99,79,mist
Tripura,22.03,60,overcast clouds
Trimulgherry,24.27,61,clear sky
Trimbak,21.21,34,clear sky
Thrissur,25.35,93,scattered clouds
Trāl,5.65,38,clear sky
Toshām,21.1,19,clear sky
Tori-Fatehpur,24.09,18,clear sky
Topchānchi,20.54,83,light rain
Tonk,22.5,21,scattered clouds
Tondi,28.55,74,few clouds
Tohāna,16.96,23,clear sky
Todaraisingh,23.99,19,clear sky
Todabhim,23.22,16,scattered clouds
Titron,17.5,21,clear sky
Titlāgarh,28.35,25,overcast clouds
Titāgarh,21.97,83,haze
Titābar,23.28,49,overcast clouds
Tisaiyanvilai,27.44,77,overcast clouds
Thiruvidaimaruthur,25.81,85,scattered clouds
Cheyyar,24.65,86,clear sky
Tiruvannāmalai,24.94,80,clear sky
Tiruvānmiyūr,28.49,82,few clouds
Tiruvallur,28.19,88,clear sky
Tiruvalla,25.02,93,broken clouds
Thiruthani,24.49,88,clear sky
Tiruttangal,27.64,73,scattered clouds
Tirur,27.55,81,clear sky
Tiruppuvanam,27.21,89,mist
Tiruppur,26.06,73,clear sky
Tirupparangunram,26.98,89,mist
Tirupati,20.73,89,clear sky
Tirunelveli,27.54,75,overcast clouds
Tirumullaivāsal,27.0,79,clear sky
Tirumala,18.69,92,clear sky
Tirumakūdal Narsipur,25.14,56,clear sky
Tirukkoyilur,25.41,82,clear sky
Thirukattupalli,25.84,85,clear sky
Tiruchengode,26.52,69,clear sky
Tiruchirappalli,28.06,89,mist
Tiruchchendur,28.09,76,overcast clouds
Tīrthahalli,19.82,88,clear sky
Tirodi,25.62,38,broken clouds
Tīra Sujānpur,15.46,38,few clouds
Tiptūr,24.2,67,few clouds
Tinsukia,21.77,51,overcast clouds
Tinnanūr,28.25,86,clear sky
Tindwāri,23.72,18,clear sky
Tindivanam,25.49,84,clear sky
Timurni,23.84,21,clear sky
Tilhar,20.44,13,clear sky
Tīkri,18.08,19,clear sky
Tīkamgarh,22.98,19,clear sky
Tikaitnagar,21.88,18,clear sky
Tijāra,21.29,17,clear sky
Thoubāl,14.81,87,overcast clouds
Thiruvarur,26.27,81,broken clouds
Thiruvaiyaru,25.5,90,clear sky
Theog,5.4,65,clear sky
Thenzawl,18.45,73,broken clouds
Thāsra,24.51,25,clear sky
Tharād,24.93,23,clear sky
Thanna Mandi,7.78,35,clear sky
Tanjore,25.54,90,clear sky
Thānesar,18.07,23,clear sky
Thāne,25.95,73,haze
Thandla,25.63,22,clear sky
Thāna Bhawan,17.44,20,clear sky
Thān,26.79,24,clear sky
Thākurganj,18.89,75,overcast clouds
Thakurdwara,18.22,20,clear sky
Tezu,19.36,58,overcast clouds
Tezpur,19.75,86,overcast clouds
Terdāl,25.36,33,clear sky
Teonthar,23.27,45,clear sky
Thenkasi,25.52,84,few clouds
Teni,25.04,83,clear sky
Tendūkheda,23.95,22,clear sky
Tenāli,24.38,82,clear sky
Tellicherry,25.58,82,clear sky
Telhāra,27.25,18,clear sky
Tekkali,23.68,87,broken clouds
Tekkalakote,28.81,41,clear sky
Tekāri,20.89,77,few clouds
Tekanpur,22.18,20,clear sky
Tehri,13.72,46,clear sky
Teghra,20.43,80,scattered clouds
Tawang,2.87,93,overcast clouds
Tāttayyangārpettai,25.63,79,clear sky
Tāsgaon,25.71,31,clear sky
Tarn Tāran,16.04,29,clear sky
Tarikere,22.89,76,clear sky
Tārāpur,25.02,69,clear sky
Tharangambadi,27.17,79,broken clouds
Tārānagar,22.7,18,clear sky
Tarāna,23.64,23,clear sky
Tāramangalam,26.18,70,clear sky
Tarakeswar,21.43,71,overcast clouds
Tarabha,26.12,28,overcast clouds
Tāoru,20.68,18,clear sky
Tanuku,23.03,85,clear sky
Tānkri,21.47,17,clear sky
Tankāra,26.54,37,clear sky
Tāndūr,28.67,41,overcast clouds
Tānda,18.56,18,clear sky
Tāndā,20.42,19,clear sky
Tanakpur,18.3,17,clear sky
Tamlūk,21.7,70,few clouds
State of Tamil Nādu,26.28,75,clear sky
Talwāra,18.52,41,clear sky
Talwandi Bhai,15.72,29,clear sky
Taloda,27.19,26,clear sky
Talipparamba,24.26,87,clear sky
Tālīkota,30.52,24,clear sky
Tālgrām,22.17,14,clear sky
Talen,23.95,22,clear sky
Taleigao,28.0,51,clear sky
Talegaon Dābhāde,21.91,42,few clouds
Tālcher,23.56,85,overcast clouds
Tālbahat,23.68,18,clear sky
Talāja,25.72,41,clear sky
Tāl,25.0,21,clear sky
Tāki,23.58,57,scattered clouds
Takhatpur,22.57,58,scattered clouds
Takhatgarh,24.47,20,clear sky
Tājpur,18.35,19,clear sky
Tādpatri,27.77,56,clear sky
Tādepallegūdem,23.33,85,clear sky
Tādepalle,24.16,83,clear sky
Swāmimalai,25.57,90,few clouds
Susner,24.74,20,clear sky
Suriāpet,24.78,76,clear sky
Suriānwān,21.7,52,clear sky
Surgāna,21.15,30,clear sky
Surendranagar,27.78,18,clear sky
Sūratgarh,21.71,20,clear sky
Sūrat,25.65,57,clear sky
Sūrandai,26.57,78,scattered clouds
Sūrajgarh,21.91,16,clear sky
Supaul,20.22,82,overcast clouds
Suntikoppa,20.02,91,clear sky
Sunel,24.59,21,clear sky
Sundarnagar,13.33,44,clear sky
Sundargarh,22.4,71,broken clouds
Sunām,17.38,23,clear sky
Sumbal,7.35,41,clear sky
Sulya,22.83,95,clear sky
Sūlūru,24.56,88,clear sky
Sulur,26.13,72,clear sky
Sultanpur,15.77,34,clear sky
Sultānpur,18.04,22,clear sky
Sultānpur,21.82,18,clear sky
Sultānpur,24.17,23,clear sky
Suket,24.3,20,clear sky
Suchindram,27.05,76,overcast clouds
Sūbedārganj,23.55,43,clear sky
Suār,18.41,19,clear sky
Srivilliputhur,27.0,77,scattered clouds
Srīvardhan,25.08,64,clear sky
Srivaikuntam,27.3,77,overcast clouds
Srīsailain,21.96,84,clear sky
Srīrāmnagar,24.29,64,broken clouds
Srīperumbūdūr,28.08,89,clear sky
Srīnivāspur,21.04,82,clear sky
Sringeri,20.28,90,scattered clouds
Srinagar,7.79,42,clear sky
Srīnagar,15.24,38,clear sky
Srīmushnam,25.97,83,clear sky
Sri Mādhopur,20.07,17,clear sky
Karanpur,20.22,22,clear sky
Srikakulam,24.87,81,scattered clouds
Sri Dūngargarh,21.98,19,clear sky
Soygaon,25.71,22,clear sky
Soron,20.67,15,scattered clouds
Soro,21.72,77,broken clouds
Sorbhog,20.8,74,overcast clouds
Sorada,22.75,69,few clouds
Sorab,22.66,65,scattered clouds
Sopur,5.92,46,clear sky
Sonīpat,18.95,20,clear sky
Songadh,24.46,31,clear sky
Sonepur,26.81,35,overcast clouds
Sonegaon,26.77,26,few clouds
Sonari Town,22.31,74,overcast clouds
Sonāri,22.37,45,overcast clouds
Sonāmura,24.11,46,overcast clouds
Sonāmukhi,20.67,79,overcast clouds
Somvārpet,18.86,87,clear sky
Sompeta,23.89,87,broken clouds
Someshwar,23.09,82,few clouds
Solim,27.94,57,clear sky
Solan,10.88,38,clear sky
Sojītra,24.79,23,clear sky
Sojat,23.75,18,clear sky
Sohna,20.93,18,clear sky
Sohāwal,23.03,25,scattered clouds
Sohāgpur,23.12,20,clear sky
Sohāgi,23.29,45,clear sky
Sodpur,21.97,83,haze
Sodarpur,23.12,21,clear sky
Soalkuchi,20.99,83,mist
Siwāna,24.99,20,clear sky
Siwān,20.03,65,clear sky
Sivni,26.75,20,clear sky
Sivakasi,27.49,73,scattered clouds
Sivagiri,26.27,74,clear sky
Sivagiri,26.16,84,few clouds
Sivaganga,27.26,76,clear sky
Siuri,20.71,82,overcast clouds
Sitārganj,17.41,19,clear sky
Sītāpur,20.78,14,clear sky
Sītāmau,24.59,21,clear sky
Sītāmarhi,20.18,84,clear sky
Sital,21.37,19,clear sky
Siswā Bāzār,19.36,36,clear sky
Sisauli,17.68,20,clear sky
Sirūr,26.16,31,overcast clouds
Sirumugai,26.38,74,few clouds
Siruguppa,28.68,40,clear sky
Sirsilla,26.27,58,overcast clouds
Sirsi,19.27,17,clear sky
Sirsi,21.14,72,clear sky
Sirsāganj,21.76,15,broken clouds
Sirsa,19.34,20,clear sky
Sirsā,22.45,42,clear sky
Sirpur,27.29,57,scattered clouds
Sironj,23.49,20,clear sky
Sirohi,22.68,23,clear sky
Sirmaur,22.08,47,clear sky
Sīrkāzhi,26.44,81,clear sky
Sirhind,18.02,24,clear sky
Sirāthu,22.8,18,clear sky
Sīra,27.52,42,few clouds
Sinor,26.0,31,clear sky
Sinnar,21.34,35,clear sky
Sini,21.33,78,overcast clouds
Singur,21.94,66,broken clouds
Singtam,18.16,67,overcast clouds
Singoli,22.6,22,clear sky
Singarāyakonda,26.45,79,clear sky
Singapperumālkovil,27.68,84,clear sky
Singānallūr,25.91,72,clear sky
Sindi,27.02,24,clear sky
Sindhnūr,28.38,37,clear sky
Sindgi,31.59,18,broken clouds
Shimla,6.04,54,clear sky
Simga,25.77,46,broken clouds
Simdega,19.98,79,scattered clouds
Simauri,21.31,16,clear sky
Simaria,22.57,45,clear sky
Silvassa,23.63,65,clear sky
Sillod,24.42,23,clear sky
Silchar,21.61,70,overcast clouds
Silao,20.18,80,scattered clouds
Sikkim,-9.51,87,overcast clouds
Sīkar,19.06,19,clear sky
Sikandra Rao,21.68,15,broken clouds
Sikandra,22.66,15,overcast clouds
Sikandra,22.6,18,clear sky
Sikandarpur,20.01,74,clear sky
Sikandarābād,20.73,18,clear sky
Sikka,25.1,68,clear sky
Sijua,21.37,79,light rain
Sihorā,22.23,48,clear sky
Sihor,26.33,36,clear sky
Sidlaghatta,23.05,71,clear sky
Sidhpura,21.21,15,scattered clouds
Sidhi,22.16,62,clear sky
Sidhaulī,21.16,16,clear sky
Siddipet,25.85,55,broken clouds
Siddhapur,24.42,24,clear sky
Siddāpur,21.38,72,few clouds
Sibsāgar,23.82,43,overcast clouds
Shupīyan,4.66,53,clear sky
Shujālpur,23.79,22,clear sky
Shrīrangapattana,24.95,67,clear sky
Shrīrāmpur,21.96,83,haze
Shrīgonda,26.16,30,scattered clouds
Srāvana Belgola,23.4,71,clear sky
Shorāpur,29.77,36,scattered clouds
Shōranūr,25.53,90,clear sky
Sholinghur,24.44,87,clear sky
Solāpur,29.65,18,clear sky
Shivrājpur,24.6,22,clear sky
Shivpuri,22.93,20,clear sky
Shīshgarh,18.5,17,clear sky
Shirwal,23.37,35,clear sky
Shirpur,27.43,24,clear sky
Shirhatti,25.68,39,clear sky
Shirgaon,25.01,69,clear sky
Shirdi,23.97,29,clear sky
Shimoga,22.39,75,clear sky
Shillong,12.98,79,overcast clouds
Siliguri,19.02,80,overcast clouds
Shikohābād,21.99,15,scattered clouds
Shikārpūr,20.27,18,scattered clouds
Shikārpur,22.91,68,scattered clouds
Shiggaon,24.7,49,clear sky
Shertallai,27.54,77,overcast clouds
Sherkot,18.51,19,clear sky
Sherghāti,22.26,72,overcast clouds
Shergarh,18.62,17,clear sky
Sheopur,24.27,19,clear sky
Sheohar,19.55,85,clear sky
Sheoganj,23.25,22,clear sky
Shegaon,26.84,20,clear sky
Shāntipur,20.73,79,overcast clouds
Shankargarh,23.32,44,clear sky
Shamaspur,21.6,15,clear sky
Shamsābād,21.63,13,clear sky
Shamsābād,22.15,16,scattered clouds
Shāmli,17.6,20,clear sky
Shāmgarh,24.5,22,clear sky
Shām Churāsi,16.68,29,clear sky
Shājāpur,23.14,23,clear sky
Sheikhpura,21.36,70,broken clouds
Shāhpura,20.59,17,clear sky
Shāhpura,23.98,21,clear sky
Shāhpura,23.41,29,clear sky
Shāhpur,17.8,19,clear sky
Shāhpur,20.83,84,few clouds
Shāhpur,23.93,20,clear sky
Shāhpur,21.05,48,clear sky
Shāhpur,23.6,18,clear sky
Shāhpur,25.76,36,clear sky
Shāhpur,26.42,20,clear sky
Shāhpur,30.67,35,broken clouds
Shāhkot,15.92,30,clear sky
Shāhjahānpur,21.57,17,clear sky
Shāhjānpur,20.48,13,clear sky
Shāhi,18.91,16,clear sky
Shāhgarh,23.33,19,clear sky
Shāhganj,21.5,42,clear sky
Shahdol,20.21,63,few clouds
Shāhāpur,24.48,34,clear sky
Shāhāda,27.18,25,clear sky
Shāhābād,18.4,22,clear sky
Shāhābād,19.23,16,clear sky
Shāhābād,20.8,13,clear sky
Shāhābād,31.02,33,overcast clouds
Sewar,22.46,16,overcast clouds
Serula,27.66,51,clear sky
Serchhīp,18.03,77,broken clouds
Seram,30.09,36,broken clouds
Seorīnārāyan,23.48,54,broken clouds
Seoni Mālwa,23.32,21,clear sky
Seoni,12.84,59,clear sky
Seoni,23.41,20,scattered clouds
Seondha,22.48,19,clear sky
Seohāra,18.52,19,clear sky
Sendhwa,25.53,25,clear sky
Sehore,23.46,22,clear sky
Secunderabad,25.12,62,clear sky
Sāyla,27.13,19,clear sky
Sāyalkudi,28.19,75,broken clouds
Sawāi Mādhopur,23.42,19,clear sky
Sāvda,26.71,20,clear sky
Savanūr,25.05,49,few clouds
Sāvantvādi,21.66,53,clear sky
Sausar,25.15,18,few clouds
Saurikh,22.18,14,clear sky
Saundatti,25.74,32,clear sky
Sathyamangalam,26.72,71,clear sky
Satwās,24.91,20,clear sky
Sattur,27.51,75,scattered clouds
Sattenapalle,24.58,81,clear sky
Sathankulam,27.46,77,overcast clouds
Satrikh,22.14,17,clear sky
Satna,22.83,31,scattered clouds
Satara,22.63,31,broken clouds
Satānā,23.01,30,clear sky
Sāsvad,22.82,35,clear sky
Sāson,24.56,51,overcast clouds
Sāsni,21.4,17,overcast clouds
Sarwār,23.28,22,clear sky
Sāruberā,20.19,82,broken clouds
Sarkhej,27.07,29,smoke
Sarka Ghāt,11.21,46,clear sky
Sarīla,24.45,17,clear sky
Sargūr,24.43,77,clear sky
Sardulgarh,17.57,22,clear sky
Sardhana,18.95,17,clear sky
Sardārshahr,23.18,17,clear sky
Sarauli,19.35,16,clear sky
Sārangpur,23.97,22,clear sky
Sārangarh,24.66,52,overcast clouds
Saraipali,26.2,47,overcast clouds
Sarāi Mīr,21.02,56,clear sky
Saraikela,21.72,79,overcast clouds
Sarai Ekdil,22.2,16,clear sky
Sarāi Ākil,23.6,34,clear sky
Sarāhan,6.56,61,overcast clouds
Sapatgrām,20.97,79,overcast clouds
Saoner,25.45,21,few clouds
Sānwer,23.2,24,clear sky
Sanvordem,22.16,66,clear sky
Santoshpur,21.99,57,scattered clouds
Santokhgarh,17.75,25,clear sky
Sanquelim,22.23,56,clear sky
Sānkrāil,22.01,59,scattered clouds
Sānkra,20.68,16,broken clouds
Sankheda,25.4,27,clear sky
Sankeshwar,23.82,33,clear sky
Sanivārsante,20.58,84,clear sky
Sanguem,22.83,67,clear sky
Sangrūr,17.46,23,clear sky
Sāngola,28.11,22,clear sky
Sangod,24.61,20,clear sky
Sāngli,25.04,33,clear sky
Sangariā,19.28,21,clear sky
Sangāreddi,25.71,53,clear sky
Sangamner,24.18,32,clear sky
Sandūr,29.05,36,overcast clouds
Sandīla,21.7,16,clear sky
Sāndi,21.55,14,clear sky
Sancoale,27.77,51,clear sky
Sānchor,24.89,20,clear sky
Sānchi,23.54,21,clear sky
Sanāwad,26.48,18,clear sky
Sanaur,18.23,23,clear sky
Sānand,27.12,20,clear sky
Samthar,24.03,17,clear sky
Samrāla,16.83,26,clear sky
Samdari,25.04,20,clear sky
Sāmbre,24.11,31,few clouds
Sāmbhar,17.72,22,clear sky
Sambhal,19.6,17,clear sky
Sambalpur,24.94,48,overcast clouds
Sāmba,17.25,39,clear sky
Samāstipur,19.94,82,clear sky
Sāmalkot,22.58,87,clear sky
Samālkha,18.28,19,clear sky
Samālka,19.99,60,haze
Shāmlālji,25.22,20,clear sky
Sālūr,23.17,69,scattered clouds
Sālūmbar,24.07,21,clear sky
Salon,22.33,18,clear sky
Saligao,27.9,60,clear sky
Salem,24.67,82,clear sky
Salāya,24.45,80,clear sky
Saktī,24.5,45,overcast clouds
Sakleshpur,19.79,89,scattered clouds
Sakīt,21.4,14,scattered clouds
Sāitlaw,17.35,58,overcast clouds
Sairang,20.97,62,overcast clouds
Saint Thomas Mount,28.54,82,few clouds
Sainthia,20.9,80,overcast clouds
Selu,26.72,22,few clouds
Sailāna,24.76,21,clear sky
Saiha,19.27,70,broken clouds
Saifullāhganj,20.2,16,clear sky
Saidpur,19.32,19,clear sky
Saidpur,21.03,68,clear sky
Sāhibganj,21.65,75,overcast clouds
Sahāwar,20.87,15,scattered clouds
Sahaswān,20.2,16,clear sky
Sahaspur,18.47,18,clear sky
Saharsa,20.06,79,overcast clouds
Sahāranpur,17.56,34,clear sky
Sahār,22.27,16,overcast clouds
Sagauli,19.25,80,clear sky
Saugor,23.06,20,clear sky
Sāgar,21.91,73,few clouds
Safīpur,21.89,17,clear sky
Safidon,17.77,20,clear sky
Sādri,24.09,21,clear sky
Sādāt,21.0,68,clear sky
Sadāseopet,25.91,50,clear sky
Sadalgi,24.54,34,clear sky
Sadābād,22.09,16,overcast clouds
Sachīn,25.96,59,clear sky
Sabzi Mandi,20.06,60,haze
Sabrūm,23.44,51,overcast clouds
Sabāthu,13.95,35,clear sky
Sābarmatī,26.98,29,smoke
Sabalgarh,23.02,20,scattered clouds
Rusera,20.29,79,scattered clouds
Rura,22.28,17,clear sky
Ropar,18.19,26,clear sky
Rumbak,-22.38,80,scattered clouds
Rudraprayāg,15.18,42,clear sky
Rūdarpur,20.1,65,clear sky
Roorkee,17.9,28,clear sky
Ron,27.54,28,clear sky
Rohtak,19.49,21,clear sky
Rohru,6.92,66,clear sky
Roha,23.43,65,clear sky
Roha,21.84,70,clear sky
Robertsonpet,21.04,79,clear sky
Robertsganj,19.98,75,broken clouds
Risod,25.49,22,clear sky
Rishra,21.99,83,haze
Rishīkesh,18.38,36,clear sky
Rīngas,21.01,16,clear sky
Richha,18.06,18,clear sky
Riāsi,15.97,40,clear sky
Rewāri,21.3,17,clear sky
Rewa,22.43,55,clear sky
Revelganj,20.39,83,few clouds
Revadanda,24.21,64,clear sky
Repalle,24.45,91,clear sky
Reoti,20.28,81,scattered clouds
Renukūt,20.16,73,scattered clouds
Renigunta,23.81,86,clear sky
Rengāli,23.84,56,overcast clouds
Remuna,21.54,76,broken clouds
Rehti,24.89,19,clear sky
Rehra Bāzār,21.31,18,clear sky
Rehli,23.71,21,clear sky
Rāzole,22.98,87,clear sky
Rāzām,23.26,85,broken clouds
Rāybāg,24.7,34,clear sky
Rāyagada,22.29,76,clear sky
Rāyadrug,29.68,35,scattered clouds
Rāyachoti,24.11,76,clear sky
Rāya,21.51,17,overcast clouds
Rāy,20.02,82,overcast clouds
Raxaul,19.71,78,clear sky
Rāwatsār,21.62,19,clear sky
Rāwatbhāta,24.1,20,few clouds
Rāver,26.37,20,clear sky
Ratnagiri,25.26,65,clear sky
Ratlām,24.84,21,clear sky
Ratia,17.54,22,clear sky
Rāth,24.24,18,clear sky
Ratanpur,22.01,58,clear sky
Ratangarh,23.34,16,clear sky
Ratangarh,21.68,23,scattered clouds
Rasūlābād,21.91,17,clear sky
Rasrā,20.76,71,clear sky
Rasipuram,25.74,76,clear sky
Rāpar,25.71,36,clear sky
Rānīr Bāzār,23.09,53,overcast clouds
Rānīpur,24.41,18,clear sky
Rānikhet,9.05,29,clear sky
Rānīganj,21.06,80,broken clouds
Rānībennur,25.29,54,broken clouds
Rānia,19.51,20,clear sky
Rāni,23.49,22,clear sky
Rangpo,14.64,70,overcast clouds
Rangia,20.98,73,overcast clouds
Rangāpāra,18.92,79,overcast clouds
Ranchi,16.06,94,thunderstorm with light rain
Rānāvāv,24.8,63,clear sky
Rānāpur,25.18,21,clear sky
Rānāghāt,20.98,77,overcast clouds
Rāmtek,25.96,23,scattered clouds
Rampur Hat,21.81,68,overcast clouds
Rāmpura,16.6,25,clear sky
Rāmpura,22.71,18,clear sky
Rāmpura,25.24,23,clear sky
Rāmpur,13.43,57,scattered clouds
Rāmpur,17.42,24,clear sky
Rāmpur,18.62,18,clear sky
Rāmnagar,14.6,41,clear sky
Rāmnagar,17.99,21,clear sky
Rāmnagar,18.38,77,few clouds
Rāmnagar,21.76,17,clear sky
Rāmnagar,20.03,68,clear sky
Rāmkola,19.22,70,clear sky
Rāmjībanpur,21.22,75,broken clouds
Rāmghāt,20.52,16,broken clouds
Rāmgarh,9.25,33,clear sky
Rāmgarh,20.51,17,clear sky
Rāmgarh,19.98,86,broken clouds
Rāmganj Mandi,24.42,20,clear sky
Rameswaram,28.56,78,clear sky
Rām Dās,15.69,33,clear sky
Rambha,24.69,85,broken clouds
Rāmban,10.95,54,clear sky
Rāmāpuram,25.56,63,few clouds
Rāmāpuram,23.72,87,clear sky
Rāmānuj Ganj,19.95,84,few clouds
Ramanathapuram,28.42,74,scattered clouds
Closepet,24.59,57,clear sky
Rāmachandrapuram,22.18,91,clear sky
Rājūra,28.2,51,broken clouds
Rājur,30.3,36,overcast clouds
Rājula,23.92,73,clear sky
Rājsamand,21.51,23,clear sky
Rājpura,18.51,23,clear sky
